id,name,goals_avg,goals_sd,assists_avg,assists_sd,blocks_avg,blocks_sd,catches_avg,catches_sd,completions_avg,completions_sd,throwaways_avg,throwaways_sd,drops_avg,drops_sd,callahans_avg,callahans_sd
397,Justin Badgett (Nashville),0.75,1.055289706,0.333333333,0.492365964,0.666666667,0.984731928,3.25,3.441062204,2.666666667,2.640018365,0,0,0.25,0.452267017,0,0
398,Peter Barry (Nashville),1.083333333,1.083624669,0.5,0.797724035,0.583333333,0.99620492,10.41666667,8.404093519,9.083333333,7.692479602,0.75,1.055289706,0.166666667,0.389249472,0,0
399,Robert Bradham (Nashville),0.333333333,0.651338947,0.583333333,0.900336637,0.416666667,0.668557923,4.25,4.712169931,3.916666667,4.925967064,0.75,1.138180366,0,0,0,0
400,Caldwell,0.083333333,0.288675135,0,0,0.083333333,0.288675135,0.583333333,2.020725942,0.416666667,1.443375673,0.166666667,0.577350269,0,0,0,0
401,Chris Calhoun (Nashville),3.166666667,2.208797836,0.916666667,0.900336637,0.25,0.452267017,17,8.79049073,13.25,7.898503886,0.666666667,0.778498944,0.25,0.621581561,0,0
402,Cam S.,0,0,0,0,0,0,0.25,0.866025404,0.166666667,0.577350269,0.083333333,0.288675135,0,0,0,0
403,John Carden (Nashville),0.583333333,0.99620492,0.25,0.452267017,0.583333333,0.792961461,4.083333333,5.550730228,3.5,4.522670169,0.083333333,0.288675135,0.083333333,0.288675135,0,0
404,Tyler Conger (Nashville),0,0,0.666666667,1.154700538,0.083333333,0.288675135,15,19.34847892,18.58333333,23.58141924,0.583333333,0.792961461,0.25,0.452267017,0,0
405,Devin Cox (Nashville),0.083333333,0.288675135,0,0,0.333333333,0.651338947,0.75,1.138180366,0.583333333,0.99620492,0,0,0,0,0,0
406,Jesse Dahms (Nashville),0,0,0,0,0.083333333,0.288675135,0.083333333,0.288675135,0,0,0,0,0,0,0,0
407,Dan C,0.083333333,0.288675135,0,0,0,0,0.666666667,1.556997888,0.583333333,1.378954369,0,0,0,0,0,0
408,Mike Dayton (Nashville),0,0,0.083333333,0.288675135,0,0,0.833333333,2.886751346,1.333333333,4.618802154,0,0,0,0,0,0
409,Jacob Flowers (Nashville),0.333333333,0.651338947,0.25,0.452267017,0.916666667,0.900336637,10.25,8.603646162,12.41666667,12.45689538,1,0.852802865,0.083333333,0.288675135,0,0
410,Chase Hammond (Nashville),0.083333333,0.288675135,0,0,0,0,0.666666667,2.309401077,0.583333333,2.020725942,0,0,0,0,0,0
411,Corey Hardesty (Nashville),1.083333333,1.311372171,0.5,0.674199862,0.666666667,1.23091491,4.583333333,4.440686543,3.583333333,3.679385654,0.166666667,0.577350269,0.083333333,0.288675135,0,0
412,Ford Heacock (Nashville),0.416666667,0.99620492,0.083333333,0.288675135,0,0,1.416666667,3.315482505,1.416666667,3.315482505,0,0,0,0,0,0
413,Elijah Jaime (Nashville),1.916666667,1.676486224,0.583333333,0.514928651,0.666666667,1.435481125,11.16666667,8.321203293,9.333333333,7.202693099,0.5,0.674199862,0.166666667,0.389249472,0,0
414,Paul Lally (Nashville),1.833333333,1.403458931,3,1.954016842,0.5,0.674199862,28.33333333,18.15755957,26.08333333,18.58864919,2.333333333,1.435481125,0,0,0,0
415,Mac McClellan (Nashville),2.25,1.864744682,1.916666667,2.020725942,0.666666667,0.778498944,26.25,18.71861009,29.16666667,19.92637965,1.166666667,1.114640858,0.166666667,0.389249472,0,0
416,Matt R.,0.083333333,0.288675135,0,0,0,0,0.5,1.167748416,0.333333333,0.778498944,0.083333333,0.288675135,0.166666667,0.389249472,0,0
417,Moore,0,0,0.166666667,0.577350269,0.083333333,0.288675135,1.083333333,1.975225342,0.833333333,1.642245322,0.25,0.621581561,0,0,0,0
